Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
252,SAT_029,"Zallaq, Bahrain",47.3,1452.7,494.3,YES
253,SAT_119,"Awarua, New Zeland",51.34,1498.9,441.9,YES
254,SAT_119,"Awarua, New Zeland",85.0,1883.0,49.6,YES
255,SAT_048,"Mwulire, Rwanda",80.66,1833.4,90.8,YES
256,SAT_061,"Pretoria, South Africa",81.83,1846.8,80.1,YES
257,SAT_009,"Sodankylä, Finland",75.22,1771.3,148.4,YES
258,SAT_010,"Öjebyn, Sweden",80.86,1835.7,90.6,YES
259,SAT_186,"Utqiagvik, USA",70.21,1714.2,202.3,YES
260,SAT_186,"Deadhorse, USA",78.34,1806.9,116.5,YES
261,SAT_183,"North Pole, USA",84.2,1873.8,57.3,YES
262,SAT_159,"Paumalu, USA",73.52,1751.9,163.4,YES
263,SAT_043,"Accra, Ghana",80.02,1826.1,97.3,YES
264,SAT_137,"Tahiti, French Polynesia",80.28,1829.1,95.4,YES
265,SAT_137,"Tahiti, French Polynesia",54.89,1539.3,384.5,YES
266,SAT_177,"Portland, USA",54.8,1538.3,388.4,YES
267,SAT_177,"Portland, USA",87.91,1916.1,20.6,YES
268,SAT_092,"Ushuaia, Argentina",87.21,1908.1,28.1,YES
269,SAT_093,"Punta Arenas, Chile",66.87,1676.0,243.9,YES
270,SAT_173,"Mojave, USA",73.96,1757.0,160.7,YES
271,SAT_194,"Columbus, USA",53.13,1519.3,414.3,YES
272,SAT_194,"Columbus, USA",85.28,1886.1,46.7,YES
273,SAT_194,"Pendergrass, USA",67.53,1683.6,232.1,YES
274,SAT_082,"Cordoba, Argentina",73.3,1749.4,170.4,YES
275,SAT_082,"Cordoba, Argentina",42.86,1402.0,585.7,YES
276,SAT_081,"Cordoba, Argentina",26.1,1210.8,1004.3,YES
277,SAT_080,"Cordoba, Argentina",16.22,1098.0,1422.3,YES
278,SAT_078,"Cordoba, Argentina",9.54,1021.8,1838.0,YES
287,SAT_097,"Pendergrass, USA",6.68,989.2,2068.4,YES
288,SAT_097,"Pendergrass, USA",12.34,1053.8,1654.4,YES
289,SAT_097,"Pendergrass, USA",20.12,1142.6,1240.9,YES
290,SAT_097,"Pendergrass, USA",32.17,1280.0,828.0,YES
291,SAT_097,"Pendergrass, USA",53.37,1522.0,416.8,YES
292,SAT_098,"Pendergrass, USA",84.17,1873.5,58.6,YES
293,SAT_181,"Cordoba, Argentina",84.85,1881.3,52.2,YES
294,SAT_098,"Columbus, USA",73.26,1749.0,172.8,YES
295,SAT_076,"Mojave, USA",65.27,1657.8,261.8,YES
296,SAT_076,"Mojave, USA",72.87,1744.5,176.3,YES
297,SAT_191,"Punta Arenas, Chile",69.09,1701.3,223.5,YES
298,SAT_080,"Portland, USA",87.76,1914.5,22.5,YES
299,SAT_189,"Ushuaia, Argentina",58.33,1578.6,358.4,YES
