Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
365,SAT_161,"Paumalu, USA",84.23,935.5,56.2,YES
366,SAT_186,"Portland, USA",55.47,614.1,381.0,YES
367,SAT_186,"Portland, USA",83.11,923.0,68.2,YES
368,SAT_010,"Columbus, USA",84.22,935.4,57.0,YES
369,SAT_012,"Pendergrass, USA",68.42,758.8,221.4,YES
370,SAT_186,"Mojave, USA",86.08,956.1,38.7,YES
371,SAT_186,"Mojave, USA",52.13,576.8,428.1,YES
372,SAT_186,"Mojave, USA",31.57,346.9,832.9,YES
373,SAT_185,"Mojave, USA",19.9,216.6,1236.8,YES
374,SAT_185,"Mojave, USA",12.33,131.9,1641.2,YES
375,SAT_184,"Mojave, USA",6.8,70.1,2045.1,YES
385,SAT_090,"Mojave, USA",8.03,83.9,1959.7,YES
386,SAT_090,"Mojave, USA",14.23,153.2,1539.7,YES
387,SAT_090,"Mojave, USA",23.06,251.9,1120.0,YES
388,SAT_090,"Mojave, USA",37.42,412.4,700.5,YES
389,SAT_090,"Mojave, USA",63.65,705.5,281.4,YES
390,SAT_090,"Mojave, USA",76.53,849.4,137.5,YES
391,SAT_114,"Pendergrass, USA",72.08,799.7,184.7,YES
392,SAT_032,"Tahiti, French Polynesia",84.56,939.2,54.6,YES
393,SAT_112,"Columbus, USA",79.49,882.5,106.7,YES
394,SAT_062,"Kapolei, USA",77.32,858.2,128.1,YES
395,SAT_169,"Cordoba, Argentina",81.6,906.1,85.5,YES
396,SAT_183,"Punta Arenas, Chile",55.8,617.7,391.9,YES
397,SAT_182,"Punta Arenas, Chile",83.07,922.5,71.5,YES
398,SAT_182,"Ushuaia, Argentina",78.49,871.4,119.8,YES
399,SAT_088,"North Pole, USA",83.25,924.6,68.8,YES
400,SAT_090,"Deadhorse, USA",88.32,981.2,17.1,YES
401,SAT_089,"Utqiagvik, USA",78.45,870.9,118.9,YES
402,SAT_020,"Awarua, New Zeland",66.89,741.7,247.9,YES
403,SAT_021,"Awarua, New Zeland",69.68,772.9,215.2,YES
404,SAT_021,"Awarua, New Zeland",41.44,457.2,628.4,YES
405,SAT_029,"Dubbo, Australia",39.03,430.3,671.3,YES
406,SAT_029,"Dubbo, Australia",67.11,744.1,242.3,YES
407,SAT_071,"Obihiro, Japan",78.74,874.2,114.2,YES
408,SAT_054,"Harmon, Guam",82.52,916.4,74.6,YES
409,SAT_105,"Sodankylä, Finland",88.63,984.7,13.9,YES
410,SAT_110,"Stockholm, Sweden",83.4,926.3,66.8,YES
411,SAT_069,"Seoul, South Korea",74.69,828.9,156.0,YES
412,SAT_143,"Accra, Ghana",69.82,774.5,207.2,YES
413,SAT_027,"Mingenew, Australia",57.98,642.1,354.0,YES
414,SAT_170,"Cape Town, South Africa",84.35,936.9,57.1,YES
415,SAT_170,"Cape Town, South Africa",59.19,655.7,338.2,YES
416,SAT_168,"Pretoria, South Africa",47.66,526.8,505.1,YES
417,SAT_168,"Pretoria, South Africa",78.6,872.6,115.3,YES
418,SAT_048,Singapore,75.41,837.0,146.4,YES
419,SAT_048,Singapore,61.69,683.6,300.0,YES
420,SAT_149,"Mwulire, Rwanda",74.71,829.2,153.6,YES
421,SAT_110,"Zallaq, Bahrain",85.69,951.8,42.8,YES
422,SAT_106,"Dubai, UAE",75.5,837.9,146.2,YES
423,SAT_106,"Dubai, UAE",44.57,492.2,551.2,YES
424,SAT_106,"Dubai, UAE",27.34,299.7,958.0,YES
425,SAT_107,"Dubai, UAE",17.2,186.4,1363.9,YES
426,SAT_109,"Dubai, UAE",10.41,110.5,1766.5,YES
427,SAT_115,"Dubai, UAE",5.46,55.1,2154.1,YES
431,SAT_200,"Dubai, UAE",9.3,98.0,1842.0,YES
432,SAT_200,"Dubai, UAE",15.93,172.1,1423.5,YES
433,SAT_200,"Dubai, UAE",25.68,281.2,1005.7,YES
434,SAT_200,"Dubai, UAE",42.17,465.4,589.7,YES
435,SAT_200,"Dubai, UAE",71.35,791.6,188.2,YES
436,SAT_006,"Zallaq, Bahrain",87.41,971.0,25.3,YES
437,SAT_049,"Mwulire, Rwanda",83.13,923.2,66.8,YES
438,SAT_049,"Mwulire, Rwanda",46.44,513.2,508.5,YES
439,SAT_071,"Pretoria, South Africa",72.49,804.2,176.5,YES
440,SAT_071,"Pretoria, South Africa",64.7,717.2,263.2,YES
441,SAT_148,Singapore,67.8,751.9,224.2,YES
442,SAT_073,"Cape Town, South Africa",79.24,879.8,106.9,YES
443,SAT_073,"Cape Town, South Africa",59.54,659.6,327.1,YES
444,SAT_043,"Accra, Ghana",63.88,708.1,268.1,YES
445,SAT_043,"Accra, Ghana",71.96,798.4,179.0,YES
446,SAT_128,"Mingenew, Australia",84.81,942.0,50.9,YES
447,SAT_013,"Dublin, Ireland",73.0,809.9,170.9,YES
448,SAT_003,"Sodankylä, Finland",71.58,794.2,187.2,YES
449,SAT_168,"Seoul, South Korea",80.51,894.0,92.8,YES
450,SAT_133,"Alice Springs, Australia",74.02,821.4,159.3,YES
451,SAT_133,"Alice Springs, Australia",66.9,741.8,236.4,YES
452,SAT_170,"Chitose, Japan",71.22,790.1,188.7,YES
453,SAT_170,"Obihiro, Japan",81.75,907.8,80.8,YES
454,SAT_129,"Dubbo, Australia",83.24,924.5,66.5,YES
455,SAT_129,"Dubbo, Australia",58.17,644.3,343.4,YES
456,SAT_191,"Utqiagvik, USA",49.29,545.0,473.0,YES
457,SAT_191,"Utqiagvik, USA",83.03,922.1,69.2,YES
458,SAT_192,"Deadhorse, USA",78.89,875.8,111.1,YES
459,SAT_191,"North Pole, USA",81.82,908.6,81.3,YES
460,SAT_066,"Cordoba, Argentina",66.6,738.5,242.1,YES
461,SAT_019,"Columbus, USA",52.39,579.6,421.8,YES
462,SAT_019,"Columbus, USA",88.18,979.7,17.8,YES
463,SAT_022,"Pendergrass, USA",83.46,926.9,64.2,YES
464,SAT_001,"Portland, USA",63.46,703.4,260.0,YES
465,SAT_200,"Portland, USA",78.76,874.4,112.2,YES
466,SAT_200,"Portland, USA",46.31,511.7,520.4,YES
467,SAT_005,"Mojave, USA",77.68,862.3,123.1,YES
468,SAT_168,"Kapolei, USA",79.61,883.8,102.7,YES
469,SAT_167,"Kapolei, USA",48.59,537.2,479.3,YES
470,SAT_124,"Tahiti, French Polynesia",80.07,889.1,98.9,YES
471,SAT_124,"Tahiti, French Polynesia",61.78,684.5,299.9,YES
472,SAT_124,"Tahiti, French Polynesia",37.42,412.4,691.6,YES
473,SAT_125,"Tahiti, French Polynesia",23.74,259.4,1082.4,YES
474,SAT_126,"Tahiti, French Polynesia",15.19,163.9,1471.9,YES
475,SAT_127,"Tahiti, French Polynesia",9.19,96.8,1858.4,YES
479,SAT_002,"Tahiti, French Polynesia",8.16,85.3,2029.3,YES
480,SAT_016,"Tahiti, French Polynesia",13.09,140.5,1604.6,YES
481,SAT_018,"Tahiti, French Polynesia",21.51,234.5,1179.2,YES
482,SAT_018,"Tahiti, French Polynesia",35.13,386.8,751.8,YES
483,SAT_019,"Tahiti, French Polynesia",60.36,668.8,321.4,YES
484,SAT_019,"Tahiti, French Polynesia",78.52,871.7,116.3,YES
485,SAT_071,"Kapolei, USA",52.02,575.6,433.7,YES
486,SAT_071,"Kapolei, USA",89.84,998.2,1.6,YES
487,SAT_108,"Mojave, USA",75.45,837.4,148.6,YES
488,SAT_108,"Mojave, USA",65.92,730.9,254.9,YES
489,SAT_103,"Portland, USA",63.91,708.5,279.6,YES
490,SAT_103,"Portland, USA",77.08,855.6,132.3,YES
491,SAT_103,"Portland, USA",46.11,509.5,535.7,YES
492,SAT_124,"Pendergrass, USA",47.4,523.9,508.7,YES
493,SAT_124,"Pendergrass, USA",77.96,865.5,122.0,YES
494,SAT_121,"Columbus, USA",83.15,923.4,69.0,YES
495,SAT_094,"North Pole, USA",76.62,850.5,138.1,YES
496,SAT_094,"Deadhorse, USA",82.67,918.1,74.9,YES
497,SAT_093,"Utqiagvik, USA",76.47,848.7,140.0,YES
498,SAT_028,"Dubbo, Australia",78.02,866.1,122.7,YES
499,SAT_054,"Harmon, Guam",80.64,895.4,93.8,YES
500,SAT_071,"Chitose, Japan",80.14,889.8,99.8,YES
501,SAT_033,"Alice Springs, Australia",67.93,753.3,231.8,YES
502,SAT_034,"Alice Springs, Australia",66.89,741.7,243.5,YES
503,SAT_067,"Seoul, South Korea",78.96,876.6,111.6,YES
504,SAT_067,"Seoul, South Korea",47.48,524.8,507.1,YES
505,SAT_030,"Mingenew, Australia",65.55,726.7,260.0,YES
506,SAT_030,"Mingenew, Australia",72.93,809.3,176.2,YES
507,SAT_100,"Sodankylä, Finland",75.97,843.2,144.7,YES
508,SAT_111,"Dundee, Scotland",80.19,890.4,99.6,YES
509,SAT_104,"Stockholm, Sweden",87.42,971.2,26.0,YES
510,SAT_109,"Dublin, Ireland",76.72,851.6,135.6,YES
511,SAT_109,"Dublin, Ireland",45.96,507.8,534.9,YES
512,SAT_109,"Dublin, Ireland",28.45,312.1,936.0,YES
513,SAT_181,"Cape Town, South Africa",29.06,318.9,926.3,YES
