Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
14,SAT_070,"Columbus, USA",31.81,349.6,840.0,1697.2,7
14,SAT_066,"Pendergrass, USA",30.53,335.3,873.1,1697.2,7
14,SAT_105,"Sodankylä, Finland",23.55,257.3,1118.3,1697.2,7
14,SAT_015,"Punta Arenas, Chile",18.89,205.3,1328.0,1697.2,7
14,SAT_009,"Ushuaia, Argentina",12.0,128.2,1722.1,1697.2,7
14,SAT_089,"Deadhorse, USA",5.15,51.7,2229.4,1697.2,7
15,SAT_132,"Dubai, UAE",21.64,235.9,1174.3,1245.6,9
15,SAT_070,"Columbus, USA",19.55,212.6,1271.0,1245.6,9
15,SAT_066,"Pendergrass, USA",18.82,204.5,1301.4,1245.6,9
15,SAT_106,"Sodankylä, Finland",15.03,162.1,1515.7,1245.6,9
15,SAT_015,"Punta Arenas, Chile",11.48,122.4,1748.8,1245.6,9
15,SAT_089,"Deadhorse, USA",10.34,109.6,1814.2,1245.6,9
15,SAT_094,"Utqiagvik, USA",7.02,72.6,2069.9,1245.6,9
15,SAT_078,"Portland, USA",6.55,67.3,2097.6,1245.6,9
15,SAT_008,"Ushuaia, Argentina",5.76,58.5,2199.4,1245.6,9
16,SAT_089,"Deadhorse, USA",17.19,186.3,1399.9,1054.6,8
16,SAT_067,"Mojave, USA",16.81,182.0,1401.1,1054.6,8
16,SAT_073,"Portland, USA",15.63,168.8,1469.5,1054.6,8
16,SAT_133,"Dubai, UAE",13.9,149.4,1556.8,1054.6,8
16,SAT_093,"Utqiagvik, USA",13.34,143.2,1617.4,1054.6,8
16,SAT_106,"Sodankylä, Finland",8.94,94.0,1915.3,1054.6,8
16,SAT_081,"North Pole, USA",6.79,70.0,2080.6,1054.6,8
16,SAT_015,"Punta Arenas, Chile",5.98,60.9,2170.5,1054.6,8
17,SAT_067,"Mojave, USA",27.29,299.1,971.4,1350.8,6
17,SAT_089,"Deadhorse, USA",27.24,298.5,987.4,1350.8,6
17,SAT_073,"Portland, USA",25.31,277.0,1042.5,1350.8,6
17,SAT_092,"Utqiagvik, USA",22.33,243.7,1166.8,1350.8,6
17,SAT_082,"North Pole, USA",13.59,146.0,1595.3,1350.8,6
17,SAT_133,"Dubai, UAE",8.26,86.5,1939.9,1350.8,6
18,SAT_067,"Mojave, USA",45.09,498.1,548.2,2138.4,5
18,SAT_088,"Deadhorse, USA",44.24,488.6,572.0,2138.4,5
18,SAT_073,"Portland, USA",41.43,457.1,619.3,2138.4,5
18,SAT_091,"Utqiagvik, USA",37.09,408.6,718.7,2138.4,5
18,SAT_084,"North Pole, USA",26.11,285.9,1022.2,2138.4,5
19,SAT_066,"Mojave, USA",78.03,866.2,121.1,3689.6,5
19,SAT_088,"Deadhorse, USA",74.86,830.7,156.9,3689.6,5
19,SAT_072,"Portland, USA",70.06,777.1,207.4,3689.6,5
19,SAT_090,"Utqiagvik, USA",64.39,713.8,276.2,3689.6,5
19,SAT_085,"North Pole, USA",45.42,501.8,549.5,3689.6,5
20,SAT_086,"North Pole, USA",76.44,848.5,139.6,3869.3,6
20,SAT_090,"Utqiagvik, USA",74.84,830.6,156.9,3869.3,6
20,SAT_072,"Portland, USA",67.37,747.1,237.7,3869.3,6
20,SAT_088,"Deadhorse, USA",65.34,724.4,264.2,3869.3,6
20,SAT_066,"Mojave, USA",60.3,668.0,321.7,3869.3,6
20,SAT_146,Singapore,5.06,50.6,2204.0,3869.3,6
21,SAT_085,"North Pole, USA",61.35,679.8,312.5,2147.4,6
21,SAT_089,"Utqiagvik, USA",44.62,492.8,563.6,2147.4,6
21,SAT_072,"Portland, USA",39.17,431.9,663.3,2147.4,6
21,SAT_066,"Mojave, USA",34.99,385.1,754.4,2147.4,6
21,SAT_146,Singapore,9.8,103.6,1820.0,2147.4,6
21,SAT_168,"Mingenew, Australia",5.37,54.1,2201.9,2147.4,6
22,SAT_085,"North Pole, USA",36.65,403.7,723.9,1600.6,8
22,SAT_089,"Utqiagvik, USA",27.53,301.8,973.2,1600.6,8
22,SAT_072,"Portland, USA",23.82,260.3,1092.6,1600.6,8
22,SAT_065,"Mojave, USA",21.3,232.1,1187.4,1600.6,8
22,SAT_146,Singapore,15.94,172.3,1436.1,1600.6,8
22,SAT_168,"Mingenew, Australia",10.18,107.9,1816.4,1600.6,8
22,SAT_117,"Seoul, South Korea",6.72,69.2,2075.5,1600.6,8
22,SAT_001,"Awarua, New Zeland",5.28,53.1,2374.0,1600.6,8
23,SAT_146,Singapore,24.66,269.7,1052.1,1598.3,10
23,SAT_085,"North Pole, USA",22.72,248.1,1141.8,1598.3,10
23,SAT_090,"Utqiagvik, USA",17.13,185.5,1395.4,1598.3,10
23,SAT_168,"Mingenew, Australia",16.41,177.5,1431.9,1598.3,10
23,SAT_071,"Portland, USA",14.66,157.9,1516.2,1598.3,10
23,SAT_065,"Mojave, USA",12.91,138.4,1615.2,1598.3,10
23,SAT_117,"Seoul, South Korea",12.01,128.4,1682.3,1598.3,10
23,SAT_199,"Awarua, New Zeland",10.24,108.6,1836.8,1598.3,10
23,SAT_108,"Chitose, Japan",9.04,95.2,1897.0,1598.3,10
23,SAT_033,"Tahiti, French Polynesia",8.49,89.0,1928.7,1598.3,10
24,SAT_146,Singapore,38.58,425.3,668.3,1951.1,11
24,SAT_167,"Mingenew, Australia",25.29,276.8,1044.7,1951.1,11
24,SAT_117,"Seoul, South Korea",19.12,207.8,1289.2,1951.1,11
24,SAT_200,"Awarua, New Zeland",16.93,183.4,1424.6,1951.1,11
24,SAT_108,"Chitose, Japan",15.16,163.6,1496.4,1951.1,11
24,SAT_033,"Tahiti, French Polynesia",15.02,162.0,1496.3,1951.1,11
24,SAT_085,"North Pole, USA",14.04,151.0,1561.1,1951.1,11
24,SAT_102,"Obihiro, Japan",10.83,115.2,1768.3,1951.1,11
24,SAT_090,"Utqiagvik, USA",10.21,108.2,1811.9,1951.1,11
24,SAT_071,"Portland, USA",8.27,86.6,1942.1,1951.1,11
24,SAT_065,"Mojave, USA",6.91,71.4,2045.9,1951.1,11
25,SAT_146,Singapore,62.99,698.2,285.7,2760.1,10
25,SAT_167,"Mingenew, Australia",39.58,436.5,657.1,2760.1,10
25,SAT_117,"Seoul, South Korea",29.71,326.1,896.8,2760.1,10
25,SAT_200,"Awarua, New Zeland",26.7,292.5,1012.3,2760.1,10
25,SAT_034,"Tahiti, French Polynesia",24.62,269.3,1060.1,2760.1,10
25,SAT_108,"Chitose, Japan",23.84,260.6,1095.7,2760.1,10
25,SAT_103,"Obihiro, Japan",18.26,198.2,1335.2,2760.1,10
25,SAT_065,"Paumalu, USA",12.07,129.0,1666.4,2760.1,10
25,SAT_084,"North Pole, USA",7.92,82.7,1977.9,2760.1,10
25,SAT_057,"Kapolei, USA",6.54,67.2,2071.0,2760.1,10
26,SAT_146,Singapore,79.11,878.3,108.8,4220.8,10
26,SAT_167,"Mingenew, Australia",64.51,715.1,271.5,4220.8,10
26,SAT_117,"Seoul, South Korea",47.43,524.2,507.6,4220.8,10
26,SAT_200,"Awarua, New Zeland",42.92,473.8,600.3,4220.8,10
26,SAT_034,"Tahiti, French Polynesia",40.89,451.1,624.9,4220.8,10
26,SAT_108,"Chitose, Japan",37.73,415.8,695.3,4220.8,10
26,SAT_104,"Obihiro, Japan",29.38,322.5,910.0,4220.8,10
26,SAT_064,"Paumalu, USA",20.05,218.2,1236.4,4220.8,10
26,SAT_058,"Kapolei, USA",13.29,142.6,1584.9,4220.8,10
26,SAT_186,"Dubbo, Australia",7.61,79.2,2022.9,4220.8,10
27,SAT_118,"Seoul, South Korea",77.85,864.2,122.7,5894.2,10
27,SAT_167,"Mingenew, Australia",76.87,853.3,133.6,5894.2,10
27,SAT_200,"Awarua, New Zeland",71.58,794.2,193.5,5894.2,10
27,SAT_034,"Tahiti, French Polynesia",70.65,783.7,199.2,5894.2,10
27,SAT_108,"Chitose, Japan",62.29,690.3,297.8,5894.2,10
27,SAT_106,"Obihiro, Japan",53.16,588.3,420.0,5894.2,10
27,SAT_146,Singapore,48.33,534.3,487.4,5894.2,10
27,SAT_064,"Paumalu, USA",32.8,360.7,803.8,5894.2,10
27,SAT_060,"Kapolei, USA",25.86,283.1,1008.5,5894.2,10
27,SAT_186,"Dubbo, Australia",13.24,142.1,1621.7,5894.2,10
28,SAT_108,"Obihiro, Japan",83.53,927.7,64.9,6523.3,11
28,SAT_001,"Awarua, New Zeland",81.32,903.0,94.5,6523.3,11
28,SAT_109,"Chitose, Japan",77.72,862.8,124.3,6523.3,11
28,SAT_035,"Tahiti, French Polynesia",66.05,732.3,250.6,6523.3,11
28,SAT_118,"Seoul, South Korea",63.51,704.0,281.0,6523.3,11
